
País,Empresa,Año,pollos anuales,población de ponedoras,pavos anuales

Uruguay,Granja Tres Arroyos Uruguay,2018,7800000,,
Uruguay,Granja Tres Arroyos Uruguay,2017,9e+06,,
Uruguay,Granja Tres Arroyos Uruguay,2016,9360000,,
Uruguay,Granja Tres Arroyos Uruguay,2015,1.2e+07,,
Uruguay,Granja Tres Arroyos Uruguay,2014,1e+07,,
Uruguay,Granja Tres Arroyos Uruguay,2013,1e+07,,
República Dominicana,Corp. Agropecuaria del Cibao,2018,3.2e+07,,
República Dominicana,Corp. Agropecuaria del Cibao,2017,3.2e+07,,
República Dominicana,Corp. Agropecuaria del Cibao,2016,4e+07,,
República Dominicana,Corp. Agropecuaria del Cibao,2015,2.3e+07,,
República Dominicana,Corp. Agropecuaria del Cibao,2014,19500000,,
República Dominicana,Corp. Agropecuaria del Cibao,2013,19500000,,
Perú,Santa Elena,2016,4.2e+07,,
Perú,Santa Elena,2015,2.6e+07,,
Perú,Santa Elena,2014,2.6e+07,,
Perú,Santa Elena,2013,2.6e+07,,
Perú,Avinka SA,2015,2.7e+07,,
Perú,Avinka SA,2014,2.7e+07,,
Perú,Avinka SA,2013,2.7e+07,,
Perú,Redondos SA,2018,1.12e+08,,350000
Perú,Redondos SA,2017,9.2e+07,,350000
Perú,Redondos SA,2016,70350000,,350000
Perú,Redondos SA,2015,6.2e+07,,350000
Perú,Redondos SA,2014,62350000,,
Perú,Redondos SA,2013,46350000,,
Paraguay,Avícola La Blanca,2018,37500000,,
Paraguay,Avícola La Blanca,2017,37500000,,
Paraguay,Avícola La Blanca,2016,37500000,,
Paraguay,Avícola La Blanca,2015,4.2e+07,,
Paraguay,Avícola La Blanca,2014,3e+07,,
Paraguay,Avícola La Blanca,2013,3e+07,,
Panamá,Productos Toledano,2018,28600000,550000,
Panamá,Productos Toledano,2017,2.6e+07,5e+05,
Panamá,Productos Toledano,2016,2.1e+07,350000,
Panamá,Productos Toledano,2015,2.1e+07,350000,
Panamá,Productos Toledano,2014,2.1e+07,350000,
Panamá,Productos Toledano,2013,2.1e+07,350000,
Panamá,Grupo Melo,2018,2.6e+07,9e+05,
Panamá,Grupo Melo,2017,2.6e+07,860000,
Panamá,Grupo Melo,2016,2.6e+07,860000,
Panamá,Grupo Melo,2015,2.6e+07,,
Panamá,Grupo Melo,2014,2.6e+07,860000,
Panamá,Grupo Melo,2013,22300000,750000,
Nicaragua,Tip-Top Industrial (Cargill),2018,4.3e+07,,
Nicaragua,Tip-Top Industrial (Cargill),2017,4.5e+07,,
Nicaragua,Tip-Top Industrial (Cargill),2016,3.9e+07,,
Nicaragua,Tip-Top Industrial (Cargill),2015,3.2e+07,,
Nicaragua,Tip-Top Industrial (Cargill),2014,32850000,,
Nicaragua,Tip-Top Industrial (Cargill),2013,1.6e+07,,
México,Buenaventura,2017,57700000,,
México,Buenaventura,2016,58400000,,
México,Buenaventura,2015,54800000,,
México,Buenaventura,2013,5.8e+07,,
México,PATSA,2018,5.7e+07,,
México,PATSA,2017,5.4e+07,,
México,PATSA,2016,5.2e+07,,
México,PATSA,2015,5.1e+07,,
Honduras,CADECA (DIP-CMI),2018,5.5e+07,,
Honduras,CADECA (DIP-CMI),2017,4.4e+07,,
Honduras,CADECA (DIP-CMI),2016,41600000,,
Honduras,CADECA (DIP-CMI),2015,42440000,,
Honduras,CADECA (DIP-CMI),2014,42440000,,
Honduras,CADECA (DIP-CMI),2013,42440000,,
Guatemala,FRISA (Areca),2018,4.5e+07,,
Guatemala,FRISA (Areca),2017,4.5e+07,,
Guatemala,FRISA (Areca),2016,3.2e+07,,
Guatemala,FRISA (Areca),2015,3e+07,,
Guatemala,FRISA (Areca),2014,3e+07,,
Guatemala,FRISA (Areca),2013,3e+07,,
Guatemala,Avíc. Villalobos (DIP-CMI),2018,7.5e+07,,
Guatemala,Avíc. Villalobos (DIP-CMI),2017,6.2e+07,,
Guatemala,Avíc. Villalobos (DIP-CMI),2016,5.7e+07,,
Guatemala,Avíc. Villalobos (DIP-CMI),2015,5.1e+07,,
Guatemala,Avíc. Villalobos (DIP-CMI),2014,5.1e+07,,
Guatemala,Avíc. Villalobos (DIP-CMI),2013,5.1e+07,,
El Salvador,Avíc. Salvadoreña (DIP-CMI),2018,4e+07,,
El Salvador,Avíc. Salvadoreña (DIP-CMI),2017,3.8e+07,,
El Salvador,Avíc. Salvadoreña (DIP-CMI),2016,3.8e+07,,
El Salvador,Avíc. Salvadoreña (DIP-CMI),2015,3.5e+07,,
El Salvador,Avíc. Salvadoreña (DIP-CMI),2014,3.1e+07,,
El Salvador,Avíc. Salvadoreña (DIP-CMI),2013,3.1e+07,,
Ecuador,Avícola San Isidro,2018,3.6e+07,,
Ecuador,Avícola San Isidro,2017,3.6e+07,,
Ecuador,Avícola San Isidro,2016,3.6e+07,,
Ecuador,Avícola San Isidro,2015,1.7e+07,,
Ecuador,Avícola San Isidro,2014,15600000,,
